회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
SP연어, 21, 162, 16702225, 191287, 0, 0, 167135074, 1334824, 61387, 438401, 32380, 사예, 전룡제후
無限대구장, 25, 177, 16183278, 239234, 600, 0, 171036704, 1375440, 45578, 571582, 31190, 사예, 무한
SPㆍ킹, 35, 232, 12699793, 139375, 0, 0, 145801922, 1196250, 19712, 253051, 31100, 사예, 전룡제후
無限회장, 165, 909, 3077927, 54861, 0, 0, 95282196, 287680, 45556, 538913, 28640, 사예, 무한
혀누임, 70, 430, 13305585, 85121, 0, 0, 130532800, 710151, 55848, 443221, 32880, 사예, 전룡제후
巛국태, 132, 740, 21916997, 96823, 350, 0, 109809095, 479107, 12009, 200396, 30550, 사예, 질주
으랏차차농부, 1, 17, 18738036, 392085, 0, 0, 227477610, 2437417, 48440, 534578, 33740, 사예, 영농조합
SP포고라니, 45, 288, 17301990, 179609, 3810, 342416, 121328170, 1011210, 43471, 1157268, 30190, 사예, 전룡제후
RZ작은하마, 48, 316, 16673756, 162732, 5148, 0, 158771370, 997612, 25938, 0, 23425, 서촉, 하마
영오농부, 32, 222, 16325737, 187181, 3985, 0, 180758718, 1132252, 82589, 247416, 31239, 사예, 영농조합
SP수달, 160, 891, 13769290, 50426, 0, 0, 70642424, 329422, 39617, 269847, 18650, 사예, 전룡제후
巛커피오랑, 88, 495, 7674952, 86480, 187, 0, 121422410, 676179, 57337, 608419, 26780, 사예, 질주
酒고주, 61, 379, 7056469, 140967, 0, 0, 110864543, 815133, 42424, 953627, 30260, 사예, 주점
巛소고기, 78, 451, 26560636, 111232, 250, 129549, 159121538, 705748, 46068, 1282844, 32860, 사예, 질주
巛지민, 145, 807, 26321429, 59582, 250, 0, 136748680, 386369, 39000, 1075380, 35183, 사예, 질주
우마왕, 18, 109, 23686386, 273361, 14225, 0, 183456061, 1486678, 93089, 446805, 25671, 서촉, 하마
오전이는농부, 26, 180, 22225344, 316654, 472, 0, 157886446, 1311031, 30035, 305351, 31270, 사예, 영농조합
無限뮤라, 7, 71, 21712639, 201761, 0, 106382, 198835957, 1734111, 46933, 481847, 38240, 사예, 무한
巛태제, 86, 490, 21489113, 146010, 0, 0, 158470348, 755639, 10565, 757184, 40070, 사예, 질주
巛조이, 27, 188, 20880986, 210351, 350, 0, 162575021, 1232019, 59999, 771863, 34300, 사예, 질주
