회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 주, 그룹
SP연어, 144, 809, 1772310, 1612, 0, 0, 54974760, 59865, 17345, 148321, 19473, 양양, 그룹 없음
新앱솔루트, 136, 778, 586995, 1373, 0, 0, 43061577, 45373, 23067, 48578, 21853, 양양, 신의악단
無限대구장, 25, 331, 802470, 14001, 1400, 0, 80173484, 173583, 36647, 283843, 24510, 양양, 그룹 없음
혀누임, 31, 353, 1569075, 11573, 0, 0, 59053743, 142684, 31167, 362135, 27480, 양양, 그룹 없음
영오농부, 15, 245, 2927285, 29715, 50, 0, 79417329, 180172, 39388, 220370, 27290, 양양, 그룹 없음
锋두르, 11, 213, 2078939, 41588, 0, 0, 68897532, 256892, 16562, 264129, 27653, 양양, 그룹 없음
無限회장, 191, 1088, 1946007, 0, 0, 0, 45673219, 16066, 9510, 289896, 16940, 양양, 그룹 없음
SP포고라니, 80, 568, 1637767, 13999, 0, 0, 66136440, 104251, 22977, 300717, 21490, 양양, 그룹 없음
SPㆍ킹, 64, 482, 1183176, 12629, 350, 0, 54442112, 147081, 18605, 0, 22020, 양양, 그룹 없음
锋빠, 63, 488, 1104234, 22089, 0, 0, 49192125, 151466, 12881, 0, 22760, 강하, 그룹 없음
緣진하, 77, 553, 724017, 6964, 0, 0, 75616849, 104719, 13995, 381540, 27430, 양양, 인연別
無限성난냥이, 72, 537, 590610, 10434, 0, 0, 52891514, 98271, 34274, 579767, 22850, 양양, 그룹 없음
SP수달, 156, 852, 442257, 3174, 0, 0, 45036515, 47888, 18563, 617624, 16640, 양양, 그룹 없음
緣차슨생, 54, 452, 344958, 0, 0, 0, 71247463, 109504, 32682, 263759, 26800, 양양, 인연別
锋이야, 29, 339, 294636, 5895, 0, 0, 60170813, 167472, 28452, 105009, 24080, 양양, 그룹 없음
으랏차차농부, 8, 145, 0, 0, 0, 0, 92289016, 273865, 27601, 446198, 24580, 양양, 그룹 없음
ZENITH, 6, 146, 10725198, 52234, 0, 0, 98116668, 293254, 15923, 120104, 28350, 양양, 인연別
新화요, 4, 117, 10547858, 27268, 350, 0, 104951675, 292451, 29666, 112374, 29620, 양양, 신의악단
活향이, 197, 1250, 8784213, 0, 0, 0, 43633284, 0, 2392, 85385, 14219, 강동, 신의악단
힘으로해결, 164, 889, 8100927, 0, 0, 0, 53883328, 16554, 46720, 417362, 21893, 양양, 그룹 없음
장우주, 46, 406, 7052466, 15963, 350, 0, 64614111, 157212, 26335, 301066, 23260, 양양, 인연別
SP돼지감자, 49, 418, 6990960, 8989, 0, 0, 70780569, 124115, 28216, 428388, 23410, 양양, 그룹 없음
진실장, 40, 393, 6861204, 35241, 0, 0, 81179179, 154338, 21196, 75166, 30470, 양양, 신의악단
锋댕이, 28, 336, 6589935, 9392, 0, 0, 80934492, 178202, 21234, 219288, 23540, 양양, 그룹 없음
여호수야, 39, 390, 6482358, 4018, 0, 0, 77523852, 181376, 14858, 286636, 24730, 양양, 그룹 없음
新하이트, 113, 688, 6370884, 9078, 350, 0, 64784113, 69896, 24534, 516996, 26470, 양양, 신의악단
別들의친족, 12, 211, 5841765, 3431, 0, 0, 80140036, 252759, 22890, 136050, 25773, 양양, 인연別
新서울의밤, 19, 277, 5771658, 3961, 150, 0, 88240721, 179588, 38796, 466117, 27683, 양양, 신의악단
태리농부, 21, 300, 5620776, 8741, 0, 0, 84389202, 193666, 20928, 198609, 23490, 양양, 그룹 없음
新처음처럼, 184, 1019, 5610240, 0, 0, 0, 54247773, 11998, 26024, 858178, 22419, 강동, 신의악단
緣心시그너스, 124, 730, 5576373, 15397, 0, 0, 68081355, 76501, 15215, 427112, 24540, 양양, 인연別
新어차피, 195, 1188, 4998234, 0, 0, 0, 35667942, 3730, 2649, 76711, 13769, 강동, 신의악단
無限티파니옹, 158, 858, 4696753, 4830, 0, 0, 76231886, 63525, 5380, 85788, 18580, 양양, 그룹 없음
SP세경, 145, 812, 4040340, 0, 350, 0, 60893245, 38290, 30487, 103537, 25540, 양양, 그룹 없음
緣주, 14, 244, 3801999, 26562, 0, 0, 100602158, 255951, 3379, 0, 31220, 양양, 인연別
新시현, 47, 412, 3286190, 9790, 0, 0, 75399046, 144351, 35505, 199640, 25450, 양양, 신의악단
처제새참농부, 75, 543, 3250127, 4772, 0, 0, 62633564, 87809, 42126, 19830, 20570, 양양, 그룹 없음
FP시현, 161, 880, 3199587, 962, 0, 0, 50400195, 34109, 29805, 418749, 21810, 양양, 신의악단
신상무, 68, 508, 3192660, 0, 0, 0, 59726463, 119401, 21721, 225427, 18900, 양양, 신의악단
新별빛청하, 159, 864, 3176078, 3226, 0, 208807, 51873150, 32259, 27547, 414506, 21890, 양양, 신의악단
형수새참농부, 107, 654, 3148488, 1891, 0, 0, 70126695, 57355, 41957, 105860, 21290, 양양, 그룹 없음
緣킁, 22, 302, 3143070, 192, 0, 0, 77044126, 177142, 22140, 248161, 28740, 양양, 인연別
無限조운, 26, 333, 3122614, 15041, 0, 0, 84357386, 187386, 17998, 13866, 26610, 양양, 그룹 없음
댈티스, 57, 463, 3058110, 5551, 0, 0, 76802512, 147776, 14351, 143994, 22640, 양양, 그룹 없음
잠자는농부, 123, 729, 2983185, 1483, 0, 0, 58549228, 54071, 22580, 423675, 22750, 양양, 그룹 없음
緣이게머야, 121, 721, 2959470, 10969, 0, 0, 60424205, 88903, 8404, 211221, 23690, 양양, 인연別
緣부끄런꼬기, 7, 142, 2537316, 27817, 0, 0, 111105934, 287548, 27997, 111707, 26860, 양양, 인연別
SP사마선, 101, 640, 2511201, 0, 0, 0, 55508857, 70644, 17901, 128925, 22910, 양양, 그룹 없음
侯이똘망, 149, 824, 2504259, 0, 0, 0, 60015616, 70181, 2740, 124350, 26510, 양양, 그룹 없음
別다이아, 119, 711, 2492277, 3058, 0, 0, 62948467, 47679, 28360, 71587, 22843, 양양, 인연別
緣동자, 60, 469, 2491893, 17691, 0, 0, 71663096, 150595, 10594, 0, 26200, 양양, 인연別
