회원, 동맹 공헌 랭킹, 본 서버 공헌 랭킹, 공헌이번 주, 전공이번 주, 협공이번 주, 기부이번 주, 공헌총량, 전공총량, 협공총량, 기부총량, 세력치, 소속 진영, 그룹
태리농부, 1, 13, 66635316, 698371, 9347, 251266, 157174769, 1080734, 31834, 413180, 29650, 사예, 영농조합
으랏차차농부, 2, 18, 45943446, 715147, 19898, 386646, 147378335, 1036185, 47127, 534578, 30200, 사예, 영농조합
칼끝, 3, 23, 51593047, 607746, 13776, 0, 149606039, 961890, 50377, 137611, 32450, 사예, 무한
羊수학, 4, 30, 43074820, 537728, 13743, 298845, 127957911, 882518, 49148, 550746, 31090, 사예, 영농조합
無限조운, 5, 45, 51640156, 562512, 1501, 185367, 130672225, 844242, 5739, 319128, 29220, 사예, 무한
RZ간웅님, 6, 56, 55957208, 482843, 20840, 131398, 147049352, 713558, 57055, 259987, 32090, 서촉, 하마
巛신유나, 9, 69, 37515183, 521489, 5999, 0, 123392531, 704775, 24857, 138469, 33813, 사예, 그룹 없음
SP용랑, 7, 63, 29480747, 495816, 11423, 297918, 104321021, 699956, 48484, 297918, 30383, 사예, 그룹 없음
巛冰탕후루, 10, 73, 43834268, 399683, 7967, 0, 119874777, 686958, 41422, 4184, 31230, 사예, 그룹 없음
無限뮤라, 11, 75, 37104812, 441689, 16175, 244881, 107226220, 648991, 46630, 375465, 33950, 사예, 무한
킹아야ㆍ, 8, 68, 20943505, 396715, 19139, 200560, 80926912, 643670, 60186, 395960, 21800, 사예, 그룹 없음
巛삐카츄, 12, 83, 41063275, 430027, 6959, 0, 110994275, 639328, 30706, 86308, 31713, 서촉, 그룹 없음
SPㆍ킹, 20, 126, 32733342, 426962, 5173, 0, 98322903, 606296, 19561, 253051, 29643, 서촉, 그룹 없음
無限알파, 13, 94, 37648497, 396367, 12933, 258109, 107627962, 602943, 26553, 541981, 30170, 사예, 무한
통도사, 16, 105, 34711878, 388019, 9491, 221915, 109674558, 602627, 22130, 493921, 34260, 사예, 그룹 없음
巛한라, 14, 97, 36610383, 436754, 11242, 495320, 104935941, 597931, 40923, 500240, 30180, 사예, 그룹 없음
酒현덕, 15, 102, 36687486, 398951, 15339, 49322, 124293218, 594743, 45721, 53798, 36100, 사예, 그룹 없음
众사치, 18, 120, 23170976, 312328, 8456, 150632, 95235867, 587340, 28101, 284829, 29713, 사예, 그룹 없음
SP하노이, 17, 109, 44558829, 426136, 12445, 506944, 128254820, 583824, 30621, 511418, 29460, 사예, 그룹 없음
众화극, 19, 125, 29789053, 405783, 11692, 363179, 145094737, 569027, 38545, 363179, 31630, 사예, 그룹 없음
無限대구장, 21, 135, 36734319, 404008, 13230, 419169, 100765184, 550044, 44882, 571582, 29110, 서촉, 무한
SP깐도리, 32, 192, 31075319, 339530, 350, 0, 84447219, 529161, 9252, 0, 23330, 서촉, 그룹 없음
여호수야, 34, 206, 48652370, 383472, 2247, 916196, 117885845, 512618, 15228, 921590, 30600, 서촉, 그룹 없음
푸른해, 27, 182, 25364148, 352053, 15748, 125713, 99763935, 504753, 43711, 251337, 34063, 서촉, 하마
민책, 30, 197, 34037584, 383275, 10589, 0, 104083098, 499915, 33865, 3685, 30680, 서촉, 하마
칼가자미, 33, 194, 36707251, 365360, 4588, 1919898, 100510508, 498919, 28697, 2175404, 30130, 사예, 그룹 없음
羊보까, 24, 167, 43433263, 316395, 11620, 593762, 125824137, 494336, 45577, 593762, 28330, 사예, 영농조합
酒맹덕, 28, 184, 30475506, 345799, 15693, 120342, 98808909, 493150, 45616, 125054, 32420, 사예, 그룹 없음
축둥, 22, 152, 44420571, 332591, 17436, 253674, 121433460, 473232, 55199, 465754, 28313, 사예, 그룹 없음
RZ디에스, 38, 219, 63724157, 377885, 12019, 358740, 148808672, 467643, 39017, 362978, 33830, 서촉, 하마
SP연어, 26, 174, 38290390, 322072, 17881, 300015, 103110856, 467027, 60249, 438401, 28246, 사예, 그룹 없음
원통사, 39, 220, 61098029, 299745, 11814, 0, 106253006, 465840, 38370, 127378, 33390, 사예, 그룹 없음
SP돼지감자, 29, 187, 15382461, 266238, 16326, 132402, 87257248, 455175, 52671, 418564, 24800, 파군, 그룹 없음
SP포고라니, 36, 209, 25384897, 317887, 10658, 562364, 78417861, 447352, 37832, 814852, 27350, 사예, 그룹 없음
众야차, 31, 190, 31117042, 289846, 5447, 404352, 96373754, 445089, 33074, 540504, 34660, 사예, 그룹 없음
마스터농부, 25, 173, 26264014, 295880, 14670, 305249, 90631804, 439431, 49109, 552814, 26670, 사예, 영농조합
대선싫어, 23, 153, 26786112, 312592, 29626, 243273, 84112066, 431456, 92151, 370993, 29520, 사예, 그룹 없음
無限알터, 40, 221, 32835520, 308658, 14262, 369465, 92652315, 431375, 49484, 738922, 25993, 사예, 무한
無限동백, 35, 205, 21026068, 282205, 19691, 578652, 86519860, 425914, 52740, 858733, 30780, 사예, 무한
侯이똘망, 42, 250, 32386072, 282535, 17804, 552280, 106610046, 424610, 41852, 552280, 29860, 사예, 그룹 없음
巛조이, 37, 216, 25305388, 325564, 19048, 248362, 90188949, 414288, 59307, 394336, 25550, 사예, 그룹 없음
오전이는농부, 43, 256, 31680680, 254589, 4088, 305351, 94811848, 407850, 27614, 305351, 28623, 사예, 영농조합
巛나간다, 46, 282, 39379645, 301258, 12451, 242612, 117752002, 403610, 38501, 363205, 34990, 사예, 그룹 없음
우마왕, 44, 265, 42309796, 329930, 21758, 289223, 100789770, 393722, 52302, 446805, 24840, 서촉, 하마
영오농부, 41, 247, 32302303, 273486, 26945, 121338, 100834600, 386173, 71774, 247416, 29460, 사예, 영농조합
巛연개소문, 45, 280, 30129335, 257363, 13522, 104642, 93039893, 383650, 45781, 107949, 32020, 사예, 그룹 없음
호섭, 47, 306, 42554561, 249628, 5030, 246925, 100884472, 365930, 28332, 494201, 30913, 서촉, 하마
RZ곤, 53, 354, 31702300, 253279, 12064, 0, 98047637, 354492, 32217, 250559, 19472, 서촉, 하마
侯낙양유치원, 55, 357, 23040149, 254055, 6270, 870372, 81818632, 354028, 25565, 899112, 28090, 사예, 그룹 없음
無限워니쭈니, 49, 336, 32937756, 233448, 9731, 280831, 105357258, 352597, 35113, 466308, 27760, 사예, 무한
쉬는농부, 56, 361, 44489149, 244525, 2941, 0, 117961454, 345002, 19987, 460402, 30430, 사예, 영농조합
巛진소한, 61, 382, 28618612, 252586, 8547, 486661, 82472729, 335778, 31701, 623177, 28910, 사예, 그룹 없음
상또, 68, 402, 34885499, 249117, 8326, 156368, 112021706, 335342, 20361, 156368, 33260, 사예, 그룹 없음
YUNONE, 65, 392, 27634897, 240812, 18879, 167551, 84399958, 333453, 40603, 305665, 25513, 사예, 그룹 없음
잠자는농부, 48, 327, 27502713, 188615, 19027, 0, 94815793, 332483, 48990, 131086, 30450, 사예, 영농조합
巛꿀차, 63, 386, 38045209, 229235, 11131, 491738, 90885448, 332430, 25477, 491738, 32390, 사예, 그룹 없음
SP부엉이, 58, 372, 17360712, 221072, 6612, 346023, 75190800, 331832, 35733, 445411, 24530, 사예, 그룹 없음
당돌한농부, 59, 374, 23146880, 203775, 11217, 372234, 84211285, 328826, 36317, 619647, 28180, 서촉, 영농조합
특이점, 60, 378, 55234095, 222748, 8814, 0, 96944020, 327288, 40565, 522640, 21316, 서촉, 하마
아련한농부, 72, 419, 22575645, 200280, 3826, 0, 84791234, 326965, 15209, 0, 21603, 서촉, 영농조합
巛키리야스, 51, 345, 21155574, 201222, 9334, 692760, 88682233, 323416, 39338, 1095425, 33630, 서촉, 그룹 없음
RZ찬블리, 70, 416, 42768003, 243570, 5710, 330452, 111679365, 320593, 27063, 576773, 29610, 서촉, 하마
巛픽션, 52, 350, 53721229, 214753, 10516, 305185, 111905614, 317741, 42881, 643353, 31660, 사예, 그룹 없음
酒고주, 57, 363, 38957842, 256236, 13875, 356307, 78653891, 317634, 41674, 560819, 30060, 사예, 그룹 없음
기미사, 67, 423, 24237138, 192230, 8706, 377150, 100746317, 312665, 29001, 625580, 30400, 파군, 그룹 없음
RZ작은하마, 81, 476, 36665776, 293497, 3222, 0, 98050662, 312035, 10878, 0, 22279, 서촉, 하마
無限티파니옹, 76, 449, 25130866, 162171, 7379, 0, 101126378, 304346, 25034, 69280, 25703, 서촉, 무한
지누농부, 62, 383, 30852448, 200739, 12790, 0, 85995180, 302065, 46738, 126102, 28200, 사예, 영농조합
SP은마아팟, 64, 391, 22738905, 208788, 8385, 296471, 68338831, 298359, 31382, 525474, 23150, 사예, 그룹 없음
巛소고기, 54, 356, 29191215, 190526, 11881, 528114, 90283607, 295970, 44926, 772104, 23010, 서촉, 그룹 없음
众헤리티지, 73, 426, 29948582, 180094, 14503, 353539, 87210377, 287029, 44344, 476178, 26989, 사예, 그룹 없음
無帝라면, 71, 418, 28386043, 173875, 7079, 382906, 95468789, 286541, 33656, 652731, 33350, 사예, 그룹 없음
땡벌농부, 80, 466, 25154044, 197077, 11021, 0, 85927818, 285835, 32252, 285139, 28083, 사예, 영농조합
巛커피오랑, 66, 398, 22627024, 169992, 19023, 480246, 68304807, 283433, 54271, 608419, 25510, 사예, 그룹 없음
탐스러워, 78, 458, 35613292, 208366, 11312, 436690, 87943090, 281944, 35133, 784830, 23181, 서촉, 하마
삽질장인농부, 85, 503, 36517050, 169631, 4740, 592173, 91505946, 279078, 28372, 596591, 23810, 사예, 영농조합
侯똘망이, 83, 484, 18953047, 180601, 8679, 578053, 88270444, 276611, 30422, 578053, 23833, 사예, 그룹 없음
RZ무리안, 96, 558, 33678536, 196873, 1684, 122395, 91250071, 271036, 8633, 253607, 13470, 서촉, 하마
巛청담베이비, 50, 343, 20402985, 197918, 38503, 309596, 70430613, 269818, 97111, 572452, 25800, 사예, 그룹 없음
無帝곰탈여우, 77, 451, 30922179, 201513, 12634, 0, 80152629, 269346, 43544, 0, 27253, 서촉, 그룹 없음
巛수릉, 74, 436, 40993957, 176354, 20800, 356232, 85359926, 267242, 60751, 528411, 26470, 사예, 그룹 없음
SP사마선, 87, 516, 23371598, 187289, 3596, 420471, 80702578, 261627, 24023, 710815, 23040, 사예, 그룹 없음
酒정뱅이, 69, 412, 23051141, 149197, 17230, 0, 70714757, 256534, 61305, 124346, 28810, 사예, 그룹 없음
